GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
-1485500324,Dominion,34,GAME_OVER,321,1,4,2,dominion-mcts,11.0,24.0,46.0,27.0,dominion-mcts,dominion-mcts,dominion-mcts,4,26,8,0,21,7,6,3,8,2,0,6,9,4,4,0,3,1,4,25,4,2,105,"[3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 7.0, 3.0, 3.0, 5.0, 8.0, 3.0, 3.0, 6.0, 9.0, 3.0, 3.0, 6.0, 9.0, 4.0, 3.0, 7.0, 9.0, 4.0, 3.0, 8.0, 9.0, 7.0, 6.0, 9.0, 9.0, 13.0, 6.0, 9.0, 9.0, 13.0, 9.0, 10.0, 9.0, 13.0, 9.0, 10.0, 9.0, 13.0, 12.0, 10.0, 9.0, 16.0, 12.0, 10.0, 12.0, 16.0, 12.0, 11.0, 15.0, 16.0, 12.0, 11.0, 15.0, 22.0, 12.0, 11.0, 15.0, 22.0, 12.0, 11.0, 15.0, 22.0, 12.0, 11.0, 15.0, 25.0, 12.0, 11.0, 18.0, 25.0, 12.0, 11.0, 18.0, 25.0, 12.0, 11.0, 18.0, 31.0, 12.0, 11.0, 18.0, 31.0, 12.0, 11.0, 18.0, 34.0, 12.0, 11.0, 21.0, 34.0, 12.0, 11.0, 21.0, 34.0, 12.0, 11.0, 21.0, 40.0, 12.0, 11.0, 21.0, 40.0, 18.0, 11.0, 21.0, 40.0, 18.0, 11.0, 21.0, 40.0, 18.0, 11.0, 21.0, 40.0, 18.0, 11.0, 21.0, 40.0, 18.0, 11.0, 21.0, 40.0, 18.0, 11.0, 21.0, 46.0, 18.0, 11.0, 27.0, 46.0]"
830011387,Dominion,34,GAME_OVER,364,2,4,3,dominion-mcts,14.0,26.0,24.0,19.0,dominion-mcts,dominion-mcts,dominion-mcts,3,28,10,0,21,4,15,2,8,4,1,0,7,6,8,0,3,2,4,28,5,0,58,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 7.0, 7.0, 4.0, 5.0, 7.0, 8.0, 4.0, 8.0, 7.0, 8.0, 10.0, 8.0, 7.0, 8.0, 10.0, 8.0, 10.0, 9.0, 10.0, 11.0, 10.0, 9.0, 13.0, 11.0, 11.0, 12.0, 14.0, 14.0, 11.0, 12.0, 14.0, 14.0, 14.0, 15.0, 14.0, 14.0, 15.0, 15.0, 14.0, 14.0, 15.0, 18.0, 14.0, 14.0, 16.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 14.0, 14.0, 19.0, 18.0, 20.0, 14.0, 19.0, 18.0, 20.0, 14.0, 19.0, 18.0, 20.0, 14.0, 19.0, 18.0, 20.0, 14.0, 19.0, 18.0, 20.0, 14.0, 19.0, 18.0, 20.0, 14.0, 19.0, 24.0, 26.0, 14.0, 19.0, 24.0, 26.0, 14.0, 19.0, 24.0, 26.0, 14.0, 19.0, 24.0, 26.0, 14.0, 19.0, 24.0]"
1905456652,Dominion,38,GAME_OVER,434,3,4,4,dominion-mcts,20.0,12.0,31.0,27.0,dominion-mcts,dominion-mcts,dominion-mcts,5,29,6,0,12,9,0,1,5,2,1,2,10,4,7,0,3,4,20,56,2,12,76,"[4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 4.0, 7.0, 4.0, 5.0, 4.0, 7.0, 4.0, 5.0, 4.0, 7.0, 4.0, 5.0, 4.0, 7.0, 5.0, 5.0, 7.0, 7.0, 8.0, 6.0, 8.0, 7.0, 8.0, 9.0, 8.0, 10.0, 8.0, 9.0, 11.0, 10.0, 8.0, 9.0, 11.0, 13.0, 8.0, 10.0, 11.0, 13.0, 8.0, 11.0, 11.0, 16.0, 9.0, 11.0, 12.0, 16.0, 9.0, 11.0, 15.0, 16.0, 9.0, 14.0, 15.0, 16.0, 9.0, 14.0, 15.0, 16.0, 12.0, 14.0, 15.0, 19.0, 12.0, 14.0, 15.0, 19.0, 12.0, 14.0, 15.0, 19.0, 12.0, 14.0, 21.0, 19.0, 12.0, 14.0, 21.0, 19.0, 12.0, 14.0, 21.0, 19.0, 12.0, 14.0, 21.0, 19.0, 12.0, 14.0, 27.0, 19.0, 12.0, 14.0, 27.0, 19.0, 12.0, 14.0, 27.0, 19.0, 12.0, 14.0, 27.0, 25.0, 12.0, 14.0, 27.0, 25.0, 12.0, 14.0, 27.0, 25.0, 12.0, 14.0, 27.0, 25.0, 12.0, 14.0, 27.0, 31.0, 12.0, 14.0, 27.0, 31.0, 12.0, 14.0, 27.0, 31.0, 12.0, 14.0, 27.0, 31.0, 12.0, 20.0, 27.0, 31.0, 12.0, 20.0, 27.0, 31.0, 12.0, 20.0, 27.0, 31.0, 12.0, 20.0, 27.0, 31.0]"
-2104785645,Dominion,21,GAME_OVER,191,1,4,5,dominion-mcts,18.0,9.0,11.0,22.0,dominion-mcts,dominion-mcts,dominion-mcts,8,30,10,0,22,10,21,5,10,9,0,7,9,6,12,0,3,0,0,7,0,0,41,"[4.0, 4.0, 3.0, 4.0, 5.0, 4.0, 3.0, 5.0, 6.0, 4.0, 3.0, 5.0, 6.0, 7.0, 3.0, 5.0, 6.0, 7.0, 6.0, 5.0, 6.0, 7.0, 6.0, 5.0, 7.0, 8.0, 6.0, 5.0, 7.0, 11.0, 6.0, 5.0, 8.0, 11.0, 9.0, 5.0, 8.0, 11.0, 12.0, 8.0, 9.0, 11.0, 15.0, 8.0, 9.0, 14.0, 18.0, 8.0, 9.0, 14.0, 19.0, 8.0, 9.0, 15.0, 19.0, 11.0, 9.0, 15.0, 22.0, 11.0, 9.0, 15.0, 22.0, 11.0, 9.0, 18.0, 22.0, 11.0, 9.0, 18.0, 22.0, 11.0, 9.0, 18.0, 22.0, 11.0, 9.0, 18.0, 22.0, 11.0, 9.0, 18.0, 22.0, 11.0]"
-1017264596,Dominion,33,GAME_OVER,366,2,4,6,dominion-mcts,14.0,24.0,21.0,19.0,dominion-mcts,dominion-mcts,dominion-mcts,2,28,8,0,11,7,14,7,2,6,0,2,8,7,9,0,3,5,11,19,1,1,40,"[3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 6.0, 3.0, 7.0, 4.0, 6.0, 6.0, 8.0, 7.0, 6.0, 6.0, 11.0, 7.0, 6.0, 6.0, 14.0, 8.0, 10.0, 6.0, 15.0, 8.0, 11.0, 6.0, 15.0, 8.0, 17.0, 12.0, 18.0, 8.0, 18.0, 12.0, 18.0, 8.0, 19.0, 12.0, 18.0, 8.0, 19.0, 15.0, 18.0, 11.0, 19.0, 15.0, 21.0, 11.0, 19.0, 15.0, 21.0, 11.0, 19.0, 15.0, 21.0, 14.0, 19.0, 15.0, 21.0, 14.0, 19.0, 15.0, 24.0, 14.0, 19.0, 15.0, 24.0, 14.0, 19.0, 15.0, 24.0, 14.0, 19.0, 15.0, 24.0, 14.0, 19.0, 15.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0, 24.0, 14.0, 19.0, 21.0]"
844246755,Dominion,27,GAME_OVER,285,1,4,7,dominion-mcts,25.0,12.0,14.0,15.0,dominion-mcts,dominion-mcts,dominion-mcts,6,28,10,0,21,10,15,5,6,4,0,4,9,7,11,0,3,4,8,19,0,0,57,"[3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 6.0, 3.0, 4.0, 4.0, 6.0, 4.0, 5.0, 5.0, 7.0, 4.0, 5.0, 5.0, 7.0, 7.0, 5.0, 8.0, 10.0, 7.0, 5.0, 8.0, 10.0, 7.0, 5.0, 8.0, 10.0, 10.0, 8.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 9.0, 8.0, 11.0, 10.0, 12.0, 8.0, 12.0, 10.0, 12.0, 8.0, 12.0, 10.0, 12.0, 8.0, 12.0, 13.0, 15.0, 11.0, 12.0, 13.0, 15.0, 11.0, 12.0, 13.0, 15.0, 11.0, 12.0, 13.0, 15.0, 11.0, 12.0, 16.0, 15.0, 11.0, 12.0, 16.0, 15.0, 11.0, 12.0, 16.0, 15.0, 11.0, 12.0, 16.0, 15.0, 14.0, 12.0, 16.0, 15.0, 14.0, 12.0, 16.0, 15.0, 14.0, 12.0, 16.0, 15.0, 14.0, 12.0, 22.0, 15.0, 14.0]"
-1310577382,Dominion,32,GAME_OVER,334,0,4,8,dominion-mcts,15.0,26.0,23.0,20.0,dominion-mcts,dominion-mcts,dominion-mcts,6,23,9,0,22,9,12,4,7,9,0,1,7,4,8,0,3,0,1,30,5,1,66,"[4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 6.0, 5.0, 4.0, 7.0, 6.0, 8.0, 7.0, 7.0, 6.0, 8.0, 7.0, 7.0, 6.0, 8.0, 8.0, 7.0, 6.0, 9.0, 11.0, 10.0, 9.0, 12.0, 11.0, 13.0, 9.0, 12.0, 11.0, 13.0, 9.0, 13.0, 11.0, 13.0, 9.0, 16.0, 14.0, 13.0, 9.0, 16.0, 14.0, 13.0, 9.0, 17.0, 17.0, 14.0, 9.0, 20.0, 17.0, 14.0, 9.0, 20.0, 17.0, 14.0, 9.0, 20.0, 17.0, 14.0, 9.0, 20.0, 17.0, 14.0, 9.0, 20.0, 17.0, 20.0, 9.0, 20.0, 17.0, 20.0, 9.0, 20.0, 17.0, 20.0, 9.0, 20.0, 17.0, 20.0, 9.0, 20.0, 17.0, 20.0, 9.0, 20.0, 17.0, 20.0, 9.0, 20.0, 17.0, 20.0, 9.0, 20.0, 17.0, 26.0, 9.0, 20.0, 17.0, 26.0, 9.0, 20.0, 23.0, 26.0, 15.0, 20.0, 23.0, 26.0, 15.0, 20.0, 23.0, 26.0, 15.0, 20.0, 23.0, 26.0, 15.0, 20.0, 23.0]"
1707038225,Dominion,32,GAME_OVER,351,0,4,9,dominion-mcts,11.0,15.0,19.0,21.0,dominion-mcts,dominion-mcts,dominion-mcts,0,30,9,0,16,5,5,8,2,1,2,3,8,7,11,0,3,5,10,25,3,0,45,"[4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 6.0, 4.0, 4.0, 4.0, 7.0, 4.0, 4.0, 7.0, 8.0, 4.0, 5.0, 7.0, 8.0, 7.0, 5.0, 7.0, 8.0, 7.0, 6.0, 7.0, 9.0, 8.0, 12.0, 7.0, 9.0, 8.0, 12.0, 7.0, 12.0, 8.0, 15.0, 7.0, 12.0, 8.0, 15.0, 7.0, 12.0, 8.0, 15.0, 10.0, 12.0, 8.0, 15.0, 13.0, 12.0, 11.0, 18.0, 16.0, 12.0, 11.0, 18.0, 16.0, 12.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0, 15.0, 11.0, 21.0, 19.0]"
-615190222,Dominion,39,GAME_OVER,414,1,4,10,dominion-mcts,17.0,22.0,16.0,23.0,dominion-mcts,dominion-mcts,dominion-mcts,3,28,9,0,13,3,12,1,6,3,0,1,7,4,9,0,3,4,8,30,4,0,85,"[3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 5.0, 4.0, 6.0, 3.0, 5.0, 4.0, 6.0, 6.0, 5.0, 4.0, 7.0, 9.0, 5.0, 4.0, 8.0, 9.0, 5.0, 7.0, 9.0, 9.0, 8.0, 8.0, 9.0, 9.0, 11.0, 8.0, 9.0, 10.0, 11.0, 8.0, 10.0, 10.0, 11.0, 8.0, 10.0, 13.0, 11.0, 11.0, 10.0, 16.0, 11.0, 11.0, 13.0, 16.0, 17.0, 11.0, 13.0, 16.0, 17.0, 11.0, 13.0, 16.0, 17.0, 14.0, 13.0, 16.0, 17.0, 14.0, 16.0, 16.0, 17.0, 14.0, 16.0, 16.0, 17.0, 14.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 17.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0, 16.0, 17.0, 23.0, 16.0]"
-1683957954,Dominion,29,GAME_OVER,305,3,4,11,dominion-mcts,30.0,16.0,14.0,24.0,dominion-mcts,dominion-mcts,dominion-mcts,1,28,8,0,18,5,16,5,7,6,3,0,8,1,8,0,3,2,6,20,2,2,47,"[4.0, 3.0, 4.0, 3.0, 7.0, 3.0, 4.0, 3.0, 10.0, 6.0, 4.0, 3.0, 11.0, 6.0, 4.0, 3.0, 12.0, 6.0, 5.0, 4.0, 13.0, 6.0, 6.0, 4.0, 14.0, 6.0, 6.0, 4.0, 15.0, 9.0, 6.0, 5.0, 16.0, 9.0, 6.0, 8.0, 16.0, 9.0, 6.0, 8.0, 16.0, 12.0, 9.0, 11.0, 16.0, 12.0, 9.0, 11.0, 16.0, 12.0, 9.0, 14.0, 16.0, 15.0, 9.0, 14.0, 16.0, 15.0, 9.0, 14.0, 16.0, 18.0, 12.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 18.0, 18.0, 14.0, 16.0, 24.0, 18.0, 14.0]"
