GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),ScoresPerRound(ScoresPerRound)
244354957,Wonders7,18,GAME_OVER,72,0,4,2,wonders7-4P-64,51.0,32.0,33.0,34.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,25,45,2,11,4,7,7,2,9,5,"[2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 5.0, 3.0, 2.0, 5.0, 6.0, 4.0, 3.0, 5.0, 7.0, 5.0, 3.0, 5.0, 10.0, 4.0, 3.0, 5.0, 11.0, 4.0, 1.0, 7.0, 11.0, 4.0, 2.0, 7.0, 12.0, 4.0, 2.0, 8.0, 12.0, 9.0, 3.0, 11.0, 13.0, 9.0, 4.0, 11.0, 13.0, 9.0, 8.0, 11.0, 16.0, 10.0, 10.0, 23.0, 20.0, 10.0, 16.0, 30.0, 28.0, 10.0, 17.0, 36.0, 33.0, 15.0, 15.0, 43.0, 34.0, 21.0, 16.0, 45.0, 35.0, 22.0, 22.0, 47.0, 36.0, 24.0]"
-338001791,Wonders7,18,GAME_OVER,72,0,4,3,wonders7-4P-64,38.0,45.0,36.0,47.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,12,57,3,9,5,11,10,5,7,10,"[1.0, 4.0, 1.0, 1.0, 2.0, 4.0, 1.0, 2.0, 2.0, 5.0, 2.0, 2.0, 2.0, 6.0, 2.0, 2.0, 2.0, 7.0, 2.0, 1.0, 3.0, 10.0, 2.0, 1.0, 2.0, 7.0, 3.0, 4.0, 2.0, 10.0, 6.0, 5.0, 7.0, 10.0, 6.0, 5.0, 7.0, 13.0, 7.0, 5.0, 7.0, 14.0, 7.0, 5.0, 10.0, 14.0, 15.0, 8.0, 20.0, 17.0, 21.0, 16.0, 22.0, 25.0, 26.0, 23.0, 27.0, 30.0, 31.0, 25.0, 34.0, 32.0, 34.0, 26.0, 41.0, 33.0, 35.0, 27.0, 41.0, 40.0, 37.0, 27.0]"
-2096377469,Wonders7,18,GAME_OVER,72,0,4,4,wonders7-4P-64,44.0,43.0,43.0,38.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,13,56,3,13,3,11,9,5,5,10,"[4.0, 4.0, 1.0, 2.0, 4.0, 7.0, 1.0, 5.0, 3.0, 8.0, 2.0, 5.0, 4.0, 8.0, 2.0, 5.0, 4.0, 9.0, 3.0, 5.0, 4.0, 10.0, 3.0, 6.0, 5.0, 11.0, 3.0, 9.0, 5.0, 10.0, 4.0, 13.0, 6.0, 13.0, 4.0, 13.0, 6.0, 14.0, 7.0, 13.0, 6.0, 14.0, 7.0, 13.0, 9.0, 16.0, 8.0, 13.0, 16.0, 20.0, 17.0, 18.0, 19.0, 26.0, 18.0, 23.0, 24.0, 34.0, 26.0, 29.0, 31.0, 34.0, 26.0, 29.0, 37.0, 37.0, 27.0, 34.0, 44.0, 40.0, 33.0, 35.0]"
1917579801,Wonders7,18,GAME_OVER,72,0,4,5,wonders7-4P-64,29.0,43.0,36.0,33.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,26,45,1,12,2,10,8,2,7,4,"[4.0, 4.0, 1.0, 2.0, 4.0, 5.0, 4.0, 2.0, 5.0, 4.0, 5.0, 3.0, 6.0, 4.0, 6.0, 6.0, 6.0, 4.0, 6.0, 5.0, 7.0, 5.0, 6.0, 6.0, 7.0, 4.0, 6.0, 6.0, 7.0, 5.0, 6.0, 6.0, 8.0, 6.0, 7.0, 7.0, 9.0, 11.0, 8.0, 8.0, 13.0, 11.0, 9.0, 8.0, 17.0, 12.0, 10.0, 8.0, 20.0, 14.0, 17.0, 10.0, 23.0, 21.0, 16.0, 14.0, 31.0, 26.0, 17.0, 19.0, 38.0, 29.0, 21.0, 23.0, 36.0, 30.0, 22.0, 30.0, 33.0, 31.0, 23.0, 35.0]"
1276281608,Wonders7,18,GAME_OVER,72,0,4,6,wonders7-4P-64,36.0,45.0,43.0,42.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,16,53,3,10,5,10,9,3,5,11,"[2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 3.0, 1.0, 3.0, 1.0, 6.0, 4.0, 3.0, 2.0, 6.0, 4.0, 11.0, 2.0, 6.0, 4.0, 15.0, 3.0, 9.0, 4.0, 17.0, 2.0, 9.0, 6.0, 18.0, 3.0, 10.0, 7.0, 19.0, 3.0, 10.0, 7.0, 23.0, 3.0, 10.0, 8.0, 26.0, 8.0, 9.0, 7.0, 24.0, 12.0, 8.0, 8.0, 32.0, 20.0, 18.0, 18.0, 37.0, 26.0, 21.0, 18.0, 40.0, 30.0, 23.0, 25.0, 41.0, 31.0, 25.0, 30.0, 42.0, 33.0, 31.0, 30.0, 41.0, 38.0, 32.0, 37.0]"
-739152353,Wonders7,18,GAME_OVER,72,0,4,7,wonders7-4P-64,36.0,41.0,35.0,39.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,12,59,1,11,5,12,11,5,6,9,"[4.0, 1.0, 2.0, 2.0, 5.0, 1.0, 2.0, 5.0, 5.0, 2.0, 2.0, 5.0, 5.0, 5.0, 2.0, 6.0, 5.0, 5.0, 3.0, 6.0, 5.0, 5.0, 2.0, 6.0, 8.0, 2.0, 4.0, 7.0, 8.0, 4.0, 4.0, 7.0, 12.0, 7.0, 7.0, 7.0, 12.0, 7.0, 8.0, 7.0, 13.0, 8.0, 9.0, 7.0, 13.0, 11.0, 9.0, 7.0, 20.0, 17.0, 19.0, 13.0, 24.0, 16.0, 23.0, 15.0, 30.0, 23.0, 28.0, 16.0, 34.0, 29.0, 29.0, 22.0, 35.0, 33.0, 27.0, 24.0, 36.0, 38.0, 29.0, 31.0]"
-1813422999,Wonders7,18,GAME_OVER,72,0,4,8,wonders7-4P-64,39.0,40.0,38.0,40.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,18,54,0,12,3,9,8,2,9,11,"[1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 5.0, 7.0, 8.0, 8.0, 10.0, 6.0, 13.0, 9.0, 10.0, 6.0, 12.0, 11.0, 11.0, 5.0, 12.0, 11.0, 12.0, 7.0, 13.0, 17.0, 13.0, 8.0, 14.0, 21.0, 16.0, 8.0, 26.0, 18.0, 20.0, 15.0, 27.0, 24.0, 22.0, 22.0, 28.0, 29.0, 23.0, 29.0, 30.0, 32.0, 26.0, 32.0, 31.0, 37.0, 27.0, 37.0, 35.0, 40.0, 30.0, 40.0]"
-260204434,Wonders7,18,GAME_OVER,72,0,4,9,wonders7-4P-64,37.0,45.0,45.0,47.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,13,55,4,11,4,9,12,4,8,7,"[4.0, 1.0, 1.0, 2.0, 4.0, 1.0, 1.0, 2.0, 4.0, 0.0, 4.0, 2.0, 5.0, 0.0, 5.0, 5.0, 5.0, 1.0, 6.0, 5.0, 6.0, 1.0, 5.0, 5.0, 4.0, 3.0, 4.0, 9.0, 7.0, 4.0, 3.0, 14.0, 6.0, 7.0, 3.0, 14.0, 7.0, 7.0, 3.0, 16.0, 11.0, 6.0, 4.0, 17.0, 14.0, 10.0, 5.0, 17.0, 19.0, 11.0, 19.0, 21.0, 26.0, 18.0, 28.0, 27.0, 31.0, 25.0, 27.0, 29.0, 36.0, 25.0, 32.0, 32.0, 37.0, 26.0, 35.0, 36.0, 45.0, 33.0, 37.0, 38.0]"
-102895836,Wonders7,18,GAME_OVER,72,0,4,10,wonders7-4P-64,48.0,37.0,56.0,31.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,12,57,3,11,5,10,11,4,5,11,"[1.0, 4.0, 1.0, 2.0, 4.0, 7.0, 2.0, 2.0, 4.0, 6.0, 3.0, 2.0, 4.0, 7.0, 3.0, 2.0, 4.0, 8.0, 6.0, 2.0, 5.0, 8.0, 7.0, 3.0, 6.0, 9.0, 8.0, 4.0, 9.0, 8.0, 9.0, 4.0, 15.0, 8.0, 8.0, 5.0, 15.0, 9.0, 12.0, 5.0, 16.0, 11.0, 12.0, 6.0, 16.0, 14.0, 12.0, 5.0, 19.0, 26.0, 8.0, 20.0, 18.0, 33.0, 9.0, 30.0, 26.0, 31.0, 12.0, 37.0, 31.0, 36.0, 19.0, 38.0, 33.0, 41.0, 20.0, 41.0, 39.0, 44.0, 20.0, 49.0]"
1598317033,Wonders7,18,GAME_OVER,72,0,4,11,wonders7-4P-64,34.0,43.0,31.0,47.0,wonders7-4P-64,wonders7-4P-64,wonders7-4P-64,0,17,51,4,12,4,9,12,1,3,10,"[2.0, 4.0, 4.0, 1.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 5.0, 3.0, 8.0, 4.0, 5.0, 3.0, 8.0, 4.0, 5.0, 3.0, 9.0, 3.0, 8.0, 3.0, 9.0, 3.0, 9.0, 3.0, 12.0, 4.0, 9.0, 3.0, 16.0, 5.0, 10.0, 7.0, 17.0, 5.0, 10.0, 11.0, 17.0, 9.0, 17.0, 11.0, 17.0, 18.0, 26.0, 14.0, 16.0, 19.0, 30.0, 24.0, 15.0, 22.0, 31.0, 24.0, 22.0, 27.0, 34.0, 27.0, 28.0, 32.0, 35.0, 29.0, 32.0, 33.0, 36.0, 37.0, 33.0]"
